timestamp,open,high,low,close,volume
1556582400000,5480,5612,5451.5,5599.52273017,7442.8264899
1556668800000,5599.52273017,5655,5577.5,5629.5,5537.05042588
1556755200000,5629.6,5784.3,5611.1,5723.8,11075.8368328
1556841600000,5736.6,6150,5702.29694186,6017,19480.28183518
1556928000000,6019.9,6189.9903581,5863.4,6098.1,9437.42259102
1557014400000,6098.1649927,6112.3,5956,6041.4021233,5815.53348677
1557100800000,6041.4021233,6102,5901,6027.9,6477.39950895
1557187200000,6028.9,6325,6028.9,6100,11990.22369015
1557273600000,6103.8,6230,6007.8,6201.5,8222.18279599
1557360000000,6201.8,6344,6153.4575144,6262,9682.27718866
1557446400000,6262,6522.2,6212.2,6438.7,14493.48955268
1557532800000,6438.7,7279,6438.7,7125.1,37945.37174068
1557619200000,7125.1,7448,6858,6983.4,31958.82528419
1557705600000,6980.2,8050,6879.9649408,7770.7,36467.14132655
1557792000000,7770.7,8194.1,7651,7951.9,29342.89533348
1557878400000,7951.9,8209,7832.45175911,8136.6341756,19036.43866675
1557964800000,8132.5,8352.3,7700.1,7859.7,22313.8762668
1558051200000,7860.4,7910,6999.9105737,7417.9,29021.92287556
1558137600000,7421.7,7518,7207.6,7260.1,9319.33096968
1558224000000,7260,8269.2,7249.34672701,8188.3,23458.30829652
1558310400000,8185.10102918,8188,7600.1,7990.6,16901.81605768
1558396800000,7985.1,8094,7814.8,7931.71147491,7692.99194632
1558483200000,7931.71147491,8039.9,7500,7620,10794.67784198
1558569600000,7620,7957.3,7436.4,7871.9,10552.95591937
1558656000000,7876.8,8158.6,7784.5,7990,10926.32057561
1558742400000,7990.3,8135.2,7950,8055,4336.17944267
1558828800000,8055,8828,7877.93890221,8729.87136565,20158.16631553
1558915200000,8729.8,8958.3,8650,8806.1,17561.87195154
1559001600000,8806.1,8846.9,8517.4,8738.1,11139.56638082
1559088000000,8738.1,8796.5,8455,8678,10304.6408121
1559174400000,8679.7,9109,8005,8270,20289.85411138
1559260800000,8269.9,8550,8099.9,8532.66591125,10929.80629901
1559347200000,8533.11384961,8625.7,8451,8547,5457.31448292
1559433600000,8546.9,8825,8540,8740.1,6243.25263946
1559520000000,8740,8740.1,8032,8099.2,18662.44376719
1559606400000,8099.2,8099.2,7501.52785992,7692.9,28124.34053556
1559692800000,7692.9,7936.5,7593.9,7789.3,10825.49630634
