timestamp,open,high,low,close,volume
1546300800,3233.87,3347.55,3195.00,3342.30,715.11531146
1546387200,3343.81,3454.40,3296.74,3433.28,1119.02516755
1546473600,3445.36,3445.36,3307.05,3325.58,2205.69894119
1546560000,3333.83,3385.00,3286.61,3358.75,1649.71410764
1546646400,3366.70,3412.00,3333.00,3343.00,430.07214292
1546732800,3349.99,3580.26,3312.81,3550.00,817.53972625
1546819200,3549.70,3576.13,3467.57,3497.11,1679.62120952
1546905600,3498.68,3612.08,3450.00,3495.52,2099.35870521
1546992000,3497.83,3541.80,3450.00,3460.35,1710.88609559
1546992000,3497.83,3541.80,3450.00,3468.34,1711.69087024
1547078400,3460.60,3499.99,3122.22,3164.33,6263.35482870
1547164800,3164.73,3261.35,3121.45,3184.45,2176.33557694
1547251200,3184.30,3193.33,3130.00,3174.28,651.90477941
1547337600,3174.00,3187.00,3045.79,3074.84,935.38202074
1547424000,3072.40,3239.18,3066.04,3193.00,1774.78495706
1547510400,3202.08,3217.42,3119.00,3146.99,2119.71750467
1547596800,3146.95,3228.70,3138.50,3167.00,2248.91603088
1547683200,3168.00,3211.44,3119.00,3195.36,1941.13374663
1547769600,3203.00,3203.01,3149.48,3188.10,1712.28065543
1547856000,3188.02,3304.87,3173.42,3249.89,683.11624520
1547942400,3248.67,3260.84,3054.90,3116.61,1193.86767511
1548028800,3117.61,3145.77,3080.50,3114.22,1792.35379524
1548115200,3119.72,3179.73,3031.00,3154.05,1813.67323776
1548201600,3147.27,3189.76,3100.54,3120.81,1841.42318751
1548288000,3128.10,3184.40,3105.00,3163.77,1766.34634128
1548374400,3163.16,3168.35,3108.10,3134.66,1713.65564257
1548460800,3134.39,3207.29,3112.00,3122.47,713.55469760
1548547200,3122.63,3132.46,3055.00,3105.98,516.83118230
1548633600,3105.89,3105.89,2959.00,3005.00,1803.70940992
1548720000,3005.00,3009.99,2926.22,2973.70,2345.39186780
1548806400,2977.39,3051.29,2955.16,2999.60,1998.93053413
1548892800,2999.62,3025.00,2963.63,2980.74,2312.75560900
1548979200,2983.91,3017.52,2953.00,3002.52,1327.52525302
1549065600,3003.18,3037.96,2979.97,3028.84,622.52438163
1549152000,3029.68,3032.61,2961.70,2987.32,499.33110012
1549238400,2985.55,3007.10,2969.00,2990.31,993.53957004
1549324800,2987.14,3012.44,2975.00,3009.96,1287.13084100
1549411200,3009.99,3022.97,2933.33,2967.86,1619.51553187
1549497600,2967.16,2986.90,2955.99,2962.08,1145.69363257
1549584000,2967.25,3282.94,2951.15,3197.40,2527.88638875
1549670400,3199.99,3216.19,3172.06,3201.39,641.98842787
1549756800,3201.40,3230.97,3160.03,3224.50,478.51197243
1549843200,3228.12,3228.12,3168.00,3192.98,1425.70033494
1549929600,3192.98,3195.00,3142.28,3173.57,1520.12033664
1550016000,3173.56,3199.52,3152.22,3181.00,1352.47688262
1550102400,3180.66,3189.99,3141.40,3157.64,1051.41809893
1550188800,3159.95,3211.58,3152.00,3169.70,1090.00860678
1550275200,3167.32,3200.71,3161.46,3182.00,506.12619003
1550361600,3177.96,3258.00,3158.05,3216.62,545.98257641
1550448000,3216.63,3469.00,3206.16,3426.93,2269.40181043
1550534400,3427.56,3523.47,3403.23,3438.21,1837.82389108
1550620800,3431.02,3497.09,3410.21,3480.48,1204.18779617
1550707200,3479.33,3522.25,3410.72,3442.83,1149.31218868
1550793600,3442.83,3492.07,3430.36,3483.18,952.11301235
1550880000,3483.18,3673.00,3452.51,3633.50,1345.38604433
1550966400,3633.51,3694.70,3276.36,3301.30,1980.71375115
1551052800,3302.32,3406.99,3299.48,3366.83,1430.73549551
1551139200,3367.63,3376.73,3315.00,3332.54,1281.02919798
1551225600,3339.12,3363.11,3226.29,3339.99,1696.06968755
